"","x"
"GSM3089729","developmental stage: Embryo at E18"
"GSM3089730","developmental stage: Embryo at E18"
"GSM3089731","developmental stage: Embryo at E18"
"GSM3089732","developmental stage: Embryo at E18"
"GSM3089733","developmental stage: Embryo at E18"
"GSM3089734","developmental stage: Embryo at E18"
"GSM3089735","developmental stage: E18 + cultured for 3 days in vitro"
"GSM3089736","developmental stage: E18 + cultured for 3 days in vitro"
"GSM3089737","developmental stage: E18 + cultured for 3 days in vitro"
"GSM3089738","developmental stage: E18 + cultured for 3 days in vitro"
"GSM3089739","developmental stage: E18 + cultured for 3 days in vitro"
"GSM3089740","developmental stage: E18 + cultured for 3 days in vitro"
"GSM3089741","developmental stage: E18 + cultured for 7 days in vitro"
"GSM3089742","developmental stage: E18 + cultured for 7 days in vitro"
"GSM3089743","developmental stage: E18 + cultured for 7 days in vitro"
"GSM3089744","developmental stage: E18 + cultured for 7 days in vitro"
"GSM3089745","developmental stage: E18 + cultured for 7 days in vitro"
"GSM3089746","developmental stage: E18 + cultured for 7 days in vitro"
